"Status","Name","Duration in ms","Description"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_info[2_7.jmx-expected1]","1167",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl.test_mesos_engine_does_not_restart","1",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_auto_detect_executors_v3[jmeter_5.1.jmx]","118948",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_update_failure_criteria[v4]","77212",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_system_admin_users_actions.test_turn_on_and_off_role_to_user[None-fail]","719",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_usage_alerts.test_create_alert_with_illegal_mail_negative[None-Notification channel is missing]","163",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl.test_opl_multiple_sessions[MesosOPL-2]","374",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_enable_workspace","239",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_system_admin_users_actions.test_verify_users_list","814",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl.test_mesos_opl_engine_limits","362",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_get_account_subscriptions","172",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl.test_opl_remote_control[DockerOPL]","379",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_test_crud.test_http_create_using[ ]","621",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_files_upload[dummy.jmx]","638",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_auto_detect_executors_v3[jmeter_3.0.jmx]","108348",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl_support_matrix.test_opl_coverage_matrix[setup_ec2_instance13]","1","Assumes private key name in environment variables and key in local .ssh"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_cloud_location.test_azure_locations_running[Microsoft Azure]","339327",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_failure_criteria_fail[v3]","129331",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_remote_control_v4.test_jmeter_properties[params0]","246604",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_update_report_fields_invalid_values[1231]","173",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_delete_invitation_from_other_account","10150",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_sliding_window[v4]","298563",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_share.test_original_master_report_not_permitted_publicly","64368",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_workspace_localization[\u6c49\u5b57]","225",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests./home/jenkins/workspace/API-TEST-BZA/api-testing/api_testing/tests/test_functional.test_functional_legacy_execution.test_basic","122645",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_dedicated_ips.test_create_dedicated_ip","3338",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_termination_api_permissions[admin-200]","10891",""
